quoteId,supplierName,materialName,unitPrice,quantity,totalPrice,deliveryDays,region,quoteDate,fileType,riskStatus,riskReason
Q00522,BuildCo,Wood,90.06,203,18281.71,7,Michigan,2025-03-22,PDF,Normal,Quote is within expected range
Q00738,NorthSteel,Copper,8525.51,102,869602.09,23,Michigan,2025-05-19,CSV,Normal,Quote is within expected range
Q00741,BudgetSource,Copper,6038.54,144,869550.11,9,Ontario,2025-01-14,CSV,Normal,Quote is within expected range
Q00661,BudgetSource,Aluminum,1233.13,330,406932.05,15,Ontario,2025-03-31,Excel,Normal,Quote is within expected range
Q00412,RapidSupply,Concrete,168.94,956,161503.93,12,Quebec,2025-09-19,CSV,Normal,Quote is within expected range
Q00679,BuildCo,Copper,10092.95,20,201858.94,11,Quebec,2025-11-19,Excel,Normal,Quote is within expected range
Q00627,ABC Suppliers,Aluminum,1384.35,370,512209.84,8,Michigan,2025-07-18,CSV,Normal,Quote is within expected range
Q00514,RapidSupply,Wood,71.68,190,13618.31,14,New York,2025-03-27,Excel,Normal,Quote is within expected range
Q00860,XYZ Materials,Concrete,324.9,513,166675.48,3,New York,2026-02-06,PDF,Anomaly,Unit price is much higher than expected
Q00137,NorthSteel,Steel,830.1,355,294685.53,14,Ontario,2025-05-25,Excel,Normal,Quote is within expected range
Q00812,BudgetSource,Steel,893.57,592,528995.2,52,Ontario,2025-01-21,PDF,Anomaly,Delivery time is unusually long
Q00077,NorthSteel,Steel,952.71,331,315348.2,16,Michigan,2025-11-17,PDF,Normal,Quote is within expected range
Q00637,XYZ Materials,Aluminum,1835.0,348,638579.32,14,New York,2025-08-17,PDF,Normal,Quote is within expected range
Q00974,XYZ Materials,Aluminum,1934.52,380,735118.27,20,Quebec,2025-09-12,PDF,Anomaly,Large order has unexpectedly high unit price
Q00939,BuildCo,Aluminum,2134.72,322,687380.61,10,New York,2026-02-11,PDF,Anomaly,Large order has unexpectedly high unit price
Q00900,ABC Suppliers,Wood,148.13,686,101616.63,8,Michigan,2025-10-24,PDF,Anomaly,Unit price is much higher than expected
Q00281,Prime Industrial,Concrete,177.27,1020,180811.97,4,Michigan,2025-03-04,CSV,Normal,Quote is within expected range
Q00884,BudgetSource,Concrete,189.5,748,141749.7,50,Quebec,2025-04-16,Excel,Anomaly,Delivery time is unusually long
Q00762,XYZ Materials,Steel,1044.83,369,385541.44,41,Quebec,2025-08-31,CSV,Anomaly,Delivery time is unusually long
Q00320,Prime Industrial,Concrete,171.74,775,133100.48,12,Michigan,2026-01-21,CSV,Normal,Quote is within expected range
Q00550,Prime Industrial,Wood,68.93,617,42530.6,5,New York,2025-07-08,CSV,Normal,Quote is within expected range
Q00175,ABC Suppliers,Steel,965.9,306,295565.41,6,New York,2025-03-16,PDF,Normal,Quote is within expected range
Q00372,BuildCo,Concrete,208.49,1486,309815.39,8,Quebec,2025-10-18,CSV,Normal,Quote is within expected range
Q00528,Maple Materials,Wood,81.16,145,11767.59,11,New York,2025-04-06,CSV,Normal,Quote is within expected range
Q00211,BudgetSource,Steel,991.63,204,202291.84,12,New York,2025-11-18,CSV,Normal,Quote is within expected range
Q00236,RapidSupply,Concrete,215.63,302,65119.72,8,Quebec,2025-01-15,CSV,Normal,Quote is within expected range
Q00102,Prime Industrial,Steel,870.57,466,405687.77,8,Ontario,2025-05-04,Excel,Normal,Quote is within expected range
Q00987,XYZ Materials,Copper,2964.24,168,497992.99,9,New York,2025-01-13,CSV,Anomaly,Unit price is unusually low
Q00903,XYZ Materials,Wood,117.89,254,29943.93,35,Quebec,2025-10-30,Excel,Anomaly,High price and slow delivery
Q00948,ABC Suppliers,Aluminum,1405.41,242,340109.18,52,New York,2025-05-26,PDF,Anomaly,Delivery time is unusually long
Q00347,Prime Industrial,Concrete,156.07,1021,159344.54,4,New York,2025-11-28,PDF,Normal,Quote is within expected range
Q00140,Maple Materials,Steel,834.37,534,445554.04,11,Ontario,2025-06-12,Excel,Normal,Quote is within expected range
Q00622,RapidSupply,Aluminum,1951.32,361,704424.87,16,Michigan,2025-10-26,Excel,Normal,Quote is within expected range
Q00500,ABC Suppliers,Wood,56.21,463,26027.31,6,Quebec,2025-10-22,CSV,Normal,Quote is within expected range
Q00371,ABC Suppliers,Concrete,181.62,915,166178.04,7,Quebec,2025-10-28,PDF,Normal,Quote is within expected range
Q00199,NorthSteel,Steel,916.99,365,334701.86,11,Michigan,2025-09-27,Excel,Normal,Quote is within expected range
Q00688,Maple Materials,Copper,7648.01,107,818336.55,25,Quebec,2026-02-15,CSV,Normal,Quote is within expected range
Q00585,NorthSteel,Aluminum,1588.16,359,570149.03,11,Michigan,2025-12-05,PDF,Normal,Quote is within expected range
Q00902,NorthSteel,Wood,91.21,381,34751.66,31,Quebec,2025-11-12,CSV,Anomaly,Delivery time is unusually long
Q00060,Maple Materials,Steel,1053.66,317,334010.21,9,New York,2025-01-15,PDF,Normal,Quote is within expected range
Q00329,Maple Materials,Concrete,205.66,1244,255840.72,7,Michigan,2025-10-16,PDF,Normal,Quote is within expected range
Q00097,BudgetSource,Steel,867.97,584,506895.4,9,Quebec,2025-08-11,PDF,Normal,Quote is within expected range
Q00313,Maple Materials,Concrete,216.07,692,149521.79,3,Michigan,2025-04-06,Excel,Normal,Quote is within expected range
Q00975,BuildCo,Aluminum,2693.14,247,665205.95,9,Michigan,2025-06-27,CSV,Anomaly,Unit price is much higher than expected
Q00300,Prime Industrial,Concrete,202.81,1176,238508.96,5,New York,2025-12-06,CSV,Normal,Quote is within expected range
Q00278,NorthSteel,Concrete,156.11,222,34655.55,9,Michigan,2025-02-07,Excel,Normal,Quote is within expected range
Q00925,BudgetSource,Wood,141.16,964,136076.04,4,Michigan,2025-08-12,CSV,Anomaly,Unit price is much higher than expected
Q00602,Maple Materials,Aluminum,1505.37,47,70752.57,12,Quebec,2025-10-13,Excel,Normal,Quote is within expected range
Q00440,BuildCo,Wood,77.65,555,43095.18,9,Quebec,2025-09-23,Excel,Normal,Quote is within expected range
Q00838,NorthSteel,Concrete,259.77,1127,292766.25,10,Ontario,2025-08-23,CSV,Anomaly,Large order has unexpectedly high unit price
Q00571,Maple Materials,Aluminum,1624.39,122,198175.03,21,Ontario,2025-03-19,PDF,Normal,Quote is within expected range
Q00880,BudgetSource,Concrete,146.62,1048,153653.98,37,Ontario,2025-10-31,Excel,Anomaly,Delivery time is unusually long
Q00262,NorthSteel,Concrete,190.72,539,102796.43,7,New York,2025-12-27,CSV,Normal,Quote is within expected range
Q00579,RapidSupply,Aluminum,1647.74,195,321308.83,22,Michigan,2025-12-18,PDF,Normal,Quote is within expected range
Q00024,XYZ Materials,Steel,786.78,536,421711.61,7,Quebec,2025-03-07,Excel,Normal,Quote is within expected range
Q00031,Maple Materials,Steel,961.92,528,507894.75,5,New York,2025-08-05,CSV,Normal,Quote is within expected range
Q00618,Maple Materials,Aluminum,1797.25,195,350463.99,21,Quebec,2025-05-21,CSV,Normal,Quote is within expected range
Q00011,Prime Industrial,Steel,916.45,326,298761.44,15,Quebec,2025-08-25,CSV,Normal,Quote is within expected range
Q00222,XYZ Materials,Steel,864.45,386,333679.44,15,New York,2025-10-14,CSV,Normal,Quote is within expected range
Q00821,NorthSteel,Steel,281.38,159,44738.99,14,Quebec,2026-02-03,PDF,Anomaly,Unit price is unusually low
Q00297,Maple Materials,Concrete,198.56,596,118339.04,4,Quebec,2026-02-25,Excel,Normal,Quote is within expected range
Q00055,Maple Materials,Steel,1079.18,231,249289.92,5,Quebec,2025-05-02,PDF,Normal,Quote is within expected range
Q00543,NorthSteel,Wood,77.88,937,72971.49,8,New York,2025-01-11,CSV,Normal,Quote is within expected range
Q00210,BuildCo,Steel,1334.94,555,740891.42,14,Ontario,2025-04-01,Excel,Normal,Quote is within expected range
Q00605,Prime Industrial,Aluminum,1642.57,313,514123.14,22,Ontario,2025-08-24,CSV,Normal,Quote is within expected range
Q00693,NorthSteel,Copper,7147.36,166,1186462.35,19,Michigan,2025-10-17,CSV,Normal,Quote is within expected range
Q00663,ABC Suppliers,Aluminum,1454.82,316,459723.76,13,Ontario,2026-02-21,Excel,Normal,Quote is within expected range
Q00867,RapidSupply,Concrete,228.33,1250,285414.75,7,New York,2025-03-14,Excel,Anomaly,Large order has unexpectedly high unit price
Q00071,BudgetSource,Steel,927.86,249,231038.15,11,Ontario,2025-08-22,CSV,Normal,Quote is within expected range
Q00544,NorthSteel,Wood,101.15,200,20230.15,7,Michigan,2025-12-23,Excel,Normal,Quote is within expected range
Q00108,NorthSteel,Steel,921.5,282,259861.71,9,Ontario,2025-04-10,CSV,Normal,Quote is within expected range
Q00494,Prime Industrial,Wood,65.12,663,43171.3,5,New York,2025-09-13,CSV,Normal,Quote is within expected range
Q00591,NorthSteel,Aluminum,1559.9,155,241784.08,10,Quebec,2025-08-22,CSV,Normal,Quote is within expected range
Q00742,XYZ Materials,Copper,8267.56,31,256294.45,19,New York,2025-11-13,PDF,Normal,Quote is within expected range
Q00293,RapidSupply,Concrete,189.41,712,134857.45,11,Quebec,2025-07-21,Excel,Normal,Quote is within expected range
Q00290,Maple Materials,Concrete,168.64,1242,209448.44,5,New York,2026-02-11,CSV,Normal,Quote is within expected range
Q00653,BuildCo,Aluminum,1595.8,335,534593.1,13,Quebec,2025-04-05,PDF,Normal,Quote is within expected range
Q00040,ABC Suppliers,Steel,988.65,211,208605.93,13,Michigan,2025-09-15,Excel,Normal,Quote is within expected range
Q00590,BudgetSource,Aluminum,1273.46,58,73860.47,10,Quebec,2025-02-16,Excel,Normal,Quote is within expected range
Q00308,Prime Industrial,Concrete,176.16,562,99003.68,3,Ontario,2025-12-09,Excel,Normal,Quote is within expected range
Q00680,ABC Suppliers,Copper,8715.54,142,1237606.35,25,Quebec,2025-05-13,PDF,Normal,Quote is within expected range
Q00067,Maple Materials,Steel,978.82,265,259386.62,14,Ontario,2025-06-05,CSV,Normal,Quote is within expected range
Q00276,NorthSteel,Concrete,172.1,953,164010.39,3,Quebec,2026-01-28,Excel,Normal,Quote is within expected range
Q00068,RapidSupply,Steel,1236.9,268,331489.54,16,Michigan,2025-08-15,CSV,Normal,Quote is within expected range
Q00319,BuildCo,Concrete,203.07,608,123465.06,9,Quebec,2025-09-02,CSV,Normal,Quote is within expected range
Q00549,Prime Industrial,Wood,78.02,133,10376.09,9,Quebec,2025-01-30,PDF,Normal,Quote is within expected range
Q00999,BuildCo,Copper,11680.95,172,2009123.48,51,New York,2025-06-03,Excel,Anomaly,High price and slow delivery
Q00715,NorthSteel,Copper,7531.76,58,436841.87,13,Quebec,2026-01-18,Excel,Normal,Quote is within expected range
Q00754,Prime Industrial,Steel,1861.54,346,644092.31,14,Ontario,2025-04-04,PDF,Anomaly,Unit price is much higher than expected
Q00328,BudgetSource,Concrete,186.71,213,39770.05,11,Ontario,2025-09-19,CSV,Normal,Quote is within expected range
Q00383,Prime Industrial,Concrete,130.0,447,58110.97,7,Quebec,2025-12-17,CSV,Normal,Quote is within expected range
Q00452,XYZ Materials,Wood,95.72,114,10911.62,4,Ontario,2025-10-28,PDF,Normal,Quote is within expected range
Q00523,Maple Materials,Wood,73.14,404,29549.03,4,New York,2025-12-05,CSV,Normal,Quote is within expected range
Q00219,ABC Suppliers,Steel,916.4,146,133793.74,11,New York,2025-02-03,CSV,Normal,Quote is within expected range
Q00788,BuildCo,Steel,440.73,277,122083.21,5,New York,2025-01-04,CSV,Anomaly,Unit price is unusually low
Q00437,XYZ Materials,Wood,107.22,480,51467.2,14,New York,2025-05-09,PDF,Normal,Quote is within expected range
